lambda,0,0.5,2,3,4,0.2,0.4,7,0.8,0.6,0.3,0.1,8,0.9,9,0.7,6,5
,-,,,,,,,,,,,,,,,,,
Model 1 parameters,-0.1120965904,-0.1059591174,-0.0909786863,-0.0840582158,-0.0766042755,-0.1096879044,-0.107225917,-0.0542917568,-0.1020164886,-0.1046654848,-0.1084672191,-0.1108952136,-0.0468369477,-0.1006867124,-0.0393604658,-0.1033482148,-0.0617265544,-0.0691412039
,-0.0480018637,-0.0397566433,-0.0088854742,-7.24217647526252E-008,-2.48738890781846E-009,-0.0449071848,-0.0415307782,-2.01656575799798E-008,-0.0341603294,-0.0379346037,-0.0432503689,-0.0464929413,-1.32684610495052E-007,-0.032206094,-7.12418244080463E-011,-0.0360688644,-3.19336155835847E-007,-1.34039394374281E-009
,-4.86798483007403E-009,-4.80596259077626E-009,-4.92219652636237E-009,-7.0445324347166E-010,-2.00864396070078E-010,-4.83553345474958E-009,-4.81284088161978E-009,-1.2861779505777E-010,-4.80622841331177E-009,-4.80251702213147E-009,-4.82279703453773E-009,-4.85079423677036E-009,-7.44806263891563E-009,-4.81289464347953E-009,-3.53122980177888E-010,-4.80264669077947E-009,-3.61254944695766E-009,-1.4301680159692E-010
,0.5206675586,0.5143800599,0.4926173065,0.4834574705,0.4745933672,0.5182589889,0.5157341971,0.4376946999,0.5098276008,0.5129447224,0.5170208378,0.5194686234,0.4240531394,0.5081756687,0.4103173536,0.5114243166,0.4512496169,0.4647223965
,-1.11057176381549E-008,-0.000000005,-2.63452283847401E-009,-1.31973887645334E-009,-3.20160047919476E-010,-7.6732634052295E-009,-5.67753166714646E-009,-1.54296892086874E-010,-3.7609775073087E-009,-4.49265336354793E-009,-6.54264634061939E-009,-9.15681588083084E-009,-3.10966512497753E-009,-3.50010974045113E-009,-9.38383191261387E-011,-4.08514066093045E-009,-2.7525729091253E-009,-2.09570571369852E-010
,0.1324371272,0.1143755201,0.0550977413,0.0287124057,0.0128324738,0.1254026493,0.1180882928,2.44617886467122E-009,0.1031683034,0.1106474659,0.1217705832,0.1289637478,6.56571849576945E-008,0.0994037449,1.57834429533961E-009,0.1069122045,1.97415719926108E-007,2.18254819531691E-006
,-,,,,,,,,,,,,,,,,,
model2 parameters,-0.1591781921,-0.1504629239,-0.1291905736,-0.1193634416,-0.1087787777,-0.1557578358,-0.152261791,-0.0770947953,-0.1448643546,-0.1486259537,-0.1540244514,-0.1574722259,-0.0665088976,-0.1429760602,-0.0558922245,-0.1467554181,-0.0876522765,-0.0981811472
,0.1320558783,0.1093728044,0.0244444489,1.9923642582358E-007,6.84294945476327E-009,0.1235422393,0.1142535513,5.54768798349632E-008,0.0939770241,0.104360269,0.1189842437,0.1279047463,0.000000365,0.0886008105,1.95990342305153E-010,0.0992275134,8.78512068054372E-007,3.68750056642619E-009
,-8.35942764088604E-009,-8.25292147054378E-009,-8.45252134767253E-009,-1.20970506703474E-009,-3.44929461202236E-010,-8.303701311955E-009,-8.26473304691601E-009,-2.2086575629271E-010,-8.25337794777788E-009,-8.24700465223532E-009,-8.28183000650081E-009,-8.32990751585645E-009,-1.27900030234595E-008,-8.26482536815203E-009,-6.06391783083308E-010,-8.24722732254307E-009,-6.2035619984679E-009,-2.45592097369421E-010
,-0.0162969322,-0.016100133,-0.0154189573,-0.0151322538,-0.0148548067,-0.0162215438,-0.0161425176,-0.0136998757,-0.0159576407,-0.0160552069,-0.0161827896,-0.0162594055,-0.0132728939,-0.0159059352,-0.0128429628,-0.0160076181,-0.0141241456,-0.0145458446
,2.14719177848981E-008,9.68829170775873E-009,5.09361570618398E-009,2.55159779638048E-009,6.19000991283813E-010,1.48355726615005E-008,0.000000011,2.98319324270617E-010,7.27151566958079E-009,8.68614589360059E-009,1.26496250758977E-008,1.77038894892446E-008,0.000000006,6.76715103280561E-009,1.81428048055815E-010,7.89825630987461E-009,5.32185502345397E-009,4.051860694826E-010
,0.1484092231,0.1281693618,0.061742603,0.0321751604,0.0143800874,0.1405263776,0.1323298999,2.7411913292382E-009,0.1156105397,0.1239916992,0.1364562795,0.1445169494,7.35755298631489E-008,0.1113919703,1.76869474240962E-009,0.1198059603,2.21224321545881E-007,2.44576644621256E-006
,-,,,,,,,,,,,,,,,,,
rmse,0.9456119991,0.9502469993,0.9690965203,0.9749430557,0.9752225186,0.9473322868,0.949236815,0.9759952494,0.9534754042,0.9512907926,0.9482636951,0.94644732,0.9762232003,0.95462075,0.9764246536,0.9523666223,0.9757435067,0.9754713714
,-,,,,,,,,,,,,,,,,,
obj value,718.9223704587,725.9873651528,755.0750447871,764.2132253587,764.651404435,721.5405231516,724.4446269332,765.8636484395,730.9287385578,727.5831543909,722.9600444421,720.1930737739,766.2214363778,732.6858242118,766.537703729,729.229755394,765.4686142429,765.0416946875
,-,,,,,,,,,,,,,,,,,
Model 1 norm,0.8132031559,0.7744713505,0.6475792159,0.5962281664,0.5640301194,0.7982567399,0.7825791956,0.4919864796,0.7491727307,0.7661922861,0.7905090204,0.8058205401,0.470890296,0.7404722282,0.4496778215,0.7577536092,0.5129766945,0.5338657847
Model 2 norm,0.4559402556,0.4041052411,0.2307965964,0.1666710588,0.1380136795,0.4360480197,0.414987779,0.0907947298,0.3704095746,0.3930331457,0.4256477852,0.4461533531,0.0797822489,0.3588747911,0.06873519,0.381796526,0.1017775334,0.1127294419
,-,,,,,,,,,,,,,,,,,
c's,0.9899902878,0.9357866887,0.8034857756,0.7423670689,0.6765369803,0.968717779,0.9469745338,0.4794821298,0.9009670368,0.9243618661,0.9579371958,0.9793802292,0.4136443682,0.889223009,0.347615202,0.9127282867,0.545143159,0.6106262475
,0.1088890376,0.090185303,0.0201561078,1.64283960225434E-007,5.64247642670738E-009,0.1018689642,0.0942098103,4.57444540202127E-008,0.0774904369,0.0860521273,0.0981105874,0.1054661474,0.000000301,0.0730573838,1.61607343972029E-010,0.0818198219,7.2439284658522E-007,0.000000003
,3.28695447059208E-008,3.24507589375748E-008,3.32355922259798E-008,4.75660015135473E-009,1.35627399774638E-009,3.26504269458559E-008,3.24972024447494E-008,8.68451425425672E-010,3.24525538210882E-008,3.24274938131834E-008,3.25644282527293E-008,3.27534706023975E-008,5.02907129804292E-008,3.24975654548889E-008,2.38435245564817E-009,3.24283693601645E-008,2.43926100212023E-008,0.000000001
,2.4946091312,2.4644846279,2.3602154787,2.316329106,2.2738596402,2.4830692537,2.4709725358,2.0970716866,2.4426730022,2.4576076758,2.4771370557,2.4888648238,2.0317125896,2.4347583069,1.9659020427,2.450323146,2.1620156591,2.2265660974
,4.4843430178203E-007,2.02336948704465E-007,1.06378574360745E-007,5.32893236510629E-008,1.29276425193828E-008,3.09836305012106E-007,2.2925127686077E-007,6.23030598512586E-009,1.51863335397036E-007,1.81407446134747E-007,2.6418347189762E-007,3.6974020678858E-007,1.25564196257281E-007,1.41329837364787E-007,3.78906816189506E-009,0.000000165,1.11145281270883E-007,8.46218460691154E-009
,1.96157149,1.6940548628,0.8160714496,0.4252692392,0.1900661484,1.8573814362,1.7490460052,3.62311899990154E-008,1.528060951,1.6388373788,1.803585666,1.9101260812,9.72470973958174E-007,1.4723027897,2.3377396017195E-008,1.5835131474,0.000002924,3.23264661830701E-005
,-,,,,,,,,,,,,,,,,,
